Topics,Helpers,Mentor,Question,text
,,dan-burns,What are some tips to earn the trust of my team?,also on board your ship the first it's going to be very important for you to earn the trust and respect of the other women in your division all of the easiest things to do for that is to get out get out of your state or out of the water out of the law go walk the decks of your personnel follow the messages of the watch I was just talking about your initial qualifications that you would have to do is for your PC west your personal qualifications for personal profit vision system request boys about talking about getting points all talking about getting out and you know you want to turn in for the night you got one more hour of racks or do you want to go well that that so far the lesser the watch climb down the wire yeah you know and go take the little wall temperatures okay and do that for everyone ship bearing on your ship date that is easy just walk in there that is read by walking around walking around and checking out on what you're looking at so you actually lower it's important for you to a larger ship date every ship is different leave it out a little bit different all ships log is supposed to be laid out the same also Martin it is you're in combat if you have to go down to a different space check something else of wanting to have control the only way to do that is by walking around what better way to burn of the trust and respect of your personnel is by walking in with that is that what you do about the division also level but as chief engineer we were getting ready to launch the red and your every ship will have away both in this case most of them are the rich and we had just gotten back to the ship so we have to watch the red well our little people ask for that is you tested once was a conflict in the instructions the closest base at the does the engine of the the the one main system is do not test without water for and the boss metal watch could have damaged the ship once it was explained to me we rode a procedure to take care of that to get it and the eight yeah yeah yeah they should all be damaged everything and then you put the word out the engineers yeah yeah yeah over the course of things so when you know I did there is four one was amazing so one way to work just yeah a lot of examples work unless you're walking around you will follow these examples if you stay in your state or if you stay in the ward room okay you're not gonna well you should be left alone and that it is a good way to start of your career you've won all four one are you sure you want 
,,dan-burns,How do you connect more deeply with your team members?,easiest ways to connect with the team members good you are all sure and they are listed or see what's the the easiest way is is to stand watch with them you're going to be in a rotation picked out by either your forehead or because you watch all Sir it's got this then that watch ask questions see with this to understand what the personnel are doing and what their mission is he is respected watch stay yeah what is the lesser of the watch the what is the agent also belongs to one side to watch also what does the missile control you need to have your stand your watch you're gonna stand them day in day out that's the easiest way to perspective and figure out what we could do that yeah but if you just go to sleep or more watches for for waffle watch or don't pay attention to the log that will be mailed and the personnel will not want to set a walk 
,,dan-burns,"How do I build trust between different team members (e.g., new ones, ones with bad interactions)?",build trust with my team and for the team member or yeah maybe the numbers out of stumbled you know the easiest thing to do is just standing watch doing drills they just continue to do that for this because the trolls right okay and everyone is happy Hey I want to be part of that watch the lieutenant as his right one sock and that's this guy or gal I want to fall okay if your full failures all the drills and everybody's got to do it again because of that problem we can get the truth PO fire all because the temporary sent the wrong signals in that were misinterpreted it sold our is so do that is to continuously for every day import into or for every day the important going to do and it sure looks roles so if you're the guy with the the Dallas look that to me at all I want to be on that team right okay if you got a new person on the team that you need so working in you know one with you I have been for a new team member walk with you thank you then can evaluate the member the new team members capabilities and you can figure out where that person will fit and more if you need to do more trolls 
,,dan-burns,What are good strategies to have the right kind of presence with my team?,strategies for you to be present with your team you know the the books will have all kinds of recommendations for personally in my time and I had read a lot we had a lot of the ship examples the falls but I still think the easiest one is M. B. W. way management by walking around that shows that your present if you still hate in your state or if you stay in the log use the the the wardrobe Parisian don't get that'll do you wore spaces okay that's gonna be noticed so the best way to be present used to be Verizon go out and walk the decks with your team with your master chief with the chief petty officer would you leading petty officer get out and about because they will also help you were when you first reports the ship that's the best thing to do walk around with everyone in the chain of command okay and see and try to understand where all your senses all this again they all your spaces it's so you don't want to miss a space so the best way to do that is to walk around the chief petty officer and and or the she petty officer had the officer she see all your space also what they'll point out by doing that yeah when the captain Charles over the ship yeah he has to turn over every space off the ship to his relief at every space to sign for that that you don't want to be the officer that rules of space is okay she knew that can get you in the hot seat real quick so the best way to do that is to walk around 
,,dan-burns,How do you and your work colleagues socialize outside of work?,socialize outside of work so interest you you do want to socialize with your wardrobe of I've always found that because you are one ship won T. one one zero so my father's record recollections from five thirty years for all of the four ships one zero and we would go up we have a large party back in the day and also we would we were under way it affords we would all the pretty much would the wardroom you you're really tight with your wardrobe now there would be official ships functions where you know the division with our party we we would have division Christmas parties on the on the bigger ships you you'd have multiple parties there or the department to get together so I decided to I will say one one thing a one really likes having to go to a party being directed to go to a party so if I was the senior officer at the parties would arrive first arrive on time schedule phone but also the first and what the crew party so it's it's about them you know you never want to be seen for all the work for you during the day you know let them have their time off and it's so that's a that's a delicate balance that you have to form 
,,dan-burns,How should your relationship be with your subordinates ? (close vs. far),with the personnel in my division departments on board my ship I was more of you know you want to see Amir far I was more arms reach you will always be yellow Mister or ms and soon had a command of your all always going to be looked at as the cactus your lot would do was a girl and that applies even if you're a Mustang you know you used to be in the cheese yes you are not able to use it as a war during the war and that applies you know you want to know what your people with the families are you know use the wife that song is always going to college any special needs that would be able to talk to a person be first of all you don't want to be seen as a as a machine at all like that but at the same time you need to keep it had at all to reach because we are in the professional all it would be all but no one would call about at all and there's going to be it's autumn wanted you may be called upon to build an arms way and that is for the good water this is you must be ready to execute the mission and we all combat medals 
,,dan-burns,"How do I help my team prepare for a tough mission (e.g., inspection, long mission)?",software should cover up for inspection hello or getting ready for deployment getting ready for a hobby you getting ready for restoration you can go out and do the mission this is how do you help the T. ready for that level one the present I do not slow fall off you know the weekend before the Monday inspection be a while the wall your dad so you want for example lots of only at the time I did as a as a captain I walked the decks I had a radiological inspection following up and walk through my entire building everything is good to go everything's label yeah did I know that the contractors were coming in two eight all yeah that weekend low noise about what happens removed and exterior signage interest signage follow the rules so Monday morning for the radiological inspection she also went in seat on Friday with my own eyes I felt because we don't have the radiological inspections rooms designated because the contractors to decide that yeah which folders that that would be more okay so you're the captain to keep warning that you expect when you inspect **** I've got it on Sunday afternoon well yeah I could have done that do we fix things that we ultimately repaired and have a great expansion yeah yeah but if you are not pleasant if you do not walk with spaces you are at risk okay and it's better to walk the spaces with your TV the personnel that are going to be showing off the spaces so the dry run and you will have a driver one for inspection as we can remember so what do you tell inspectors on who shows up that you're just asking a question you wanna know way with that will allow you to evaluate the team members knowledge experience training level and is she ready for the inspections 
,,dan-burns,What kinds of people will I work with?,people are you going to work with in our navy and our department of defense you don't work with okay President Johnson integrated the navy that the in two ways everyone is they that's not a problem a it's your responsibility to work with every man and woman that's so I and then you took the oath of office to defend the constitution ISIS malpractice on these phones and that is that you don't get to choose who you're going to work for that feature two more for in with everyone that is on your view on your three so if needed road Costa dammit this is why it's always good to be okay we will give full leadership movies so why is why is the cap to do with that way in the reading in the early the yeah you've got to understand that you know they already do that is to read or to look into all this stuff okay 
,,dan-burns,What kinds of people respond better to certain leadership strategies?,you sure strategies you're going to help their ad types out there and see everything you've been taught so this voice yeah you're gonna use at some point talk about we also got a good you can use one thing that that you got to remember at the end of the day you are still being charged after it's a lawful order carried out and when it comes down to that okay if that means you finally have to your exasperated internally you know and you're done and now you're just gonna say because that is a legal I've given you a legal or carry out the please I could carry out or then there's going to be consequences as well as the bass is gonna be exactly losses destination XL one and moved to re you don't want to go with their you know or you don't want to have a rush to judgment you want to try to you know have resolved the situation with every uShip steel which you can use and you would help it boost that door your time with three TV special is division officer yeah but you're going to enjoy it is every day is going to be different every day there will be a new challenges every day you get to wake up and figure out how you're going to execute the mission 
,,dan-burns,When is it a good idea to share personal stories or emotions with members of your team?,is it a good time to express personal relationships or personal history with you take let's say he does grab a Cup of coffee with you you're needing to pay all Sir or we do it all for the leading Hey all Sir you know in the first week when you tried it with you god of war to introduce you to all to your tea okay you're going to set that I have a Cup of coffee and discuss you know the past would you would leave is the person that you you need to know is the person you usually leave is that person still aboard the ship if the person is still on board the ship you need to do that so you can go ask that person you know what did he or she why what did he or she called push what would be your shoes leave all accomplish if you're going to have to look for us to get that out you only find that out by talking to the chief petty officer so that's one of the things you can do is is talk to the 
,,dan-burns,What counseling skills are important?,this is an important part of the job if you're going to have so this was it I just would consider it art of the job that I had to do and to help science is also you don't want to do that the you know you will be gracious in the war as is and he sees all of Jews your lotus NG a war of it out all of the team because you don't want to be so war all you do with that I yeah a and then this way people understand if you're a fan of leader there's only one way and you call that was a that was on there's a but don't forget the make sure you let people know when they've done a good job I want to hear that you want if you want to hear that the one and that's routine that you're responsible for 
,,dan-burns,How do I push my team to meet the standards? (if they are having trouble meeting them),Sanders yeah this is one of the times one is gonna depend on the situation of the you know that was able to leave was on the system yeah sure failed it's a lot of things that the workers are actually fired when I was in a so at that point it seems that I have to do it our way that in my way for all I way is to get help yeah and make sure that we were using the whole training schemes all eyes we carry out the exercises if you would just be making sure that we understood the technology and will's office on it was a long slog it was a very qualified to do that all I can tell you that at the end of the day the ship on the injury he had learned that twelve years we are in the only for sure I was in the days when only one ship just water we we which is water of the fleet good our records show so those those situations in which you're walking into if you were walking into a situation where it seems right yeah and you just passed restaurant and everything's great the lower the standards yeah and just stay up on that razor's edge state hi the shock don't slack off 
,,dan-burns,How should you reward your sailors for good performance?,for outstanding performance yeah one important that all at as they needed the what the chief of what those senior chief petty officer leading petty officer make recommendations on who's performed for users of seventy two hours would you check that get them out go up to the bar and say Hey I want to give the master chief but they all look for it the what the last few days have you know a service to our would be an three car for the weekend that's one of the yes you can white opal wards for your division they are the three new should be conservative and handing out the wards because you don't want to be seen as someone that's always riding over the war that they just give it about like their little wallet pops then then the value the reward is not going to help with the chores facts because everyone was this guy will always got one was about as so search and liberty outstanding that's that's the one thing that you can do for you today 
,,dan-burns,What would you advise a person in this field to get to know their bosses?,get to know your bosses shooter also reports that are one of the least I don't watch it when you're on the way your going to be in the wardroom sharing meals with a it's for four years go out socialize with always auctions or maybe the always result from some points where are you and yeah zero point zero I was a heavy wall is also changes when you deploy able to do a crucial swap at some points on the log here we always do that US wizard were operating with the allied with NATO zero ships is exercise they always look to send someone it all grew and grew up and also change so use that on my four ship we were operating a help you focus on so maybe and so you'll be a large loss after loss or won the coin toss a lot of spending three weeks on the south shore still on all sort of shape you definitely want to do that a call today that is gonna be one sees in the future your ship your what is your vision you can also but also is always good to ask questions will have a call so I have a Cup of coffee it's a social functions of all three okay as she blushes order that's a long way because as a senator so okay a leash what did you that's the easiest way 
,,dan-burns,How do you get good feedback from supervisors who were unable or unwilling to give you feedback?,reporter seniors that in our are reticent to give feedback to use also this case road you're all Sir and you're carrying out the daily mission and they're getting hurt it's from but yeah yeah well one thing crickets is usually a sign of here we are okay because people lay like a ton of bricks all personnel team members that are not performing so in this case you know nothing well is that bad or good first off you might want to sit down you're going to have that whole get togethers either at morning quarters the a a daily that would be a for for training maybe if the yeah they'll be official five meetings and you can just for lunch you know one of the meals you can call is a all right sure OK you know this is the direction I'm going in I have heard nothing back so I'm gonna continue of course and speed told Iraqis are wise it I don't believe heading into the rock that's one way to do it if it's not necessarily a bad sign if you're not getting feedback it's just in this day and age frankly everyone's busy so I'm not gonna fix yeah and therefore if you back for the most part description of the world so I don't have the fiction things that are more require fixing a bar feedback let's say that's always the case but also a operate that but you might want to check 
,,dan-burns,What encourages accountability?,courage is accountability Mobil one so a you know Fisher responsibilities easy to sign for it responsible for years but as treasurer the possible for you you become the holy also responsible for casting all those little ones if you sign for something okay a farm that's gonna be your responsibility I can tell you what I was so do the engineering school of postgraduate school Monterey they were one of the comments the physics department was running a coffee house out of the mess because there's no call it that in the campus at that time and no one has permission I wonder if it's on the way they work three hundred dollars in the hole there were bars it should so you can have we have to charge a little bit more accountability at that point and then lay down the wall and this band that bass okay because they couldn't come up with a so as far as accountability that's bad news for the shared responsibility to help build a mission for the team if your there's probably all server and work on the range in two months the fire a lot of work ahead okay thank you all but how we're going to do that what all the fire because we want to come back with a dash to the mast yeah we'll be known as the ship that couldn't shoot straight because you make a lot of good to look up fire then understand how the total rate was supposed to respond to that your data you bet sorry right yeah because you isolated the someone and you then tell the tale far right there is mad weapon away of the way 
,,dan-burns,What are ways you can identify the strengths and limitations for each member of your team?,to identify a swap strings weapon shrinks weaknesses opportunities threats for your team in this case right away this is also is two one understand the duties and responsibilities yeah that so Waccamaw understand what is this man or woman charged with then this goes to watch well if this person is responsible for the ball one of the water chemistry of the evaporators and the for the for free water chemistry to provide the all distillers and that was a little clue as opposed to school that's probably a good idea that this the member is an economical it doesn't know what they're doing but your TV your George so that's what it comes down to you need to look back at the office look at the the strengths and weaknesses of each team is on the shore talking with you Jim Eddie officers or your division officers filled with officers this is how can you have might see stand a watch and then go and stand the watch with them by the way are they all 
,,dan-burns,How is it different to manage military people vs. civilians in the military?,so as far as management of civilian and military personnel of course so if you have to distinguish between the civilian personnel other contractors both of the civil and so a lot more invested in the contractors and the contractors are only legally bound to their so there are three players in that in that case help with and the other thing that you need to know and understand the bills are there probably would be inside the lifelines should gets under way everyone's on the civilians may or may not be getting away with it the size and shape because there are some things that you know the way we use a big dictators and look at our well the for the most part so when you guys first not getting on the way Bob partnerships for so you have to understand what the mission and one of the dealer and then situational eight it's different when you should be out we went to the shipyard you know well when the when the bowel or also is this still the shipyard also the one responsible for sure you for but technically you know the dry dock captive opens the ship with that and the contractors are in charge of all goods and love the show and it's the only new core of it maybe that should be better so at that point the contractors become poor very poor soaring into being a bit intermediate maybe it's available is the I am a 
,,dan-burns,What is the difference between working in the public vs private sectors?,although purses audit sector resort is log my activity division and I did work in the private sector and I will say that the watery hello the March stronger in the middle of the much higher code of ethics and frankly they're just is locals use every fault or else or posted you will have those of have at it but Howell shore of the lot the view is a good example right now okay that was all three whatever else in the work environment at the White did you know the one slice of music or so it's it was easier for you in all sectors of the world for it was terrible yeah I really you at every you have integrity that will saw private for all of that's the only way that those issues are all of you thank you for adults is J. always brought it ordered a private or in public there are different the thirty mile as we all are zero 
,,dan-burns,What makes the navy different than other branches of the military?,different from the rest of the world or this is a cell all shows what about the baby is we are so alive yeah the law is the other way and settled arises or or that all of that **** and any forces you to be honest for what I have us for so long then the army or the airforce officers the girls are so so that but quite frankly the airforce of they return to home base a B. two B. fifty two outstanding aircraft and they fly over to okay all up there in the middle of seven and I will be home for a couple months so I had to make sure that alright I will log on this if they get a mission failure is good to go all the only the the only is reliant when they're out of garrison if they're out of garrison in there find a hot war okay whatever the end and yes we've been fighting in Iraq and Afghanistan for eighteen years now but for the most part that special operations right now that's not big on big always mission awhile or two Soria etcetera there's a store one deploy mas okay take out the enemy sort of the garrison okay maybe goes out Swiss diplomacy what's the world so this is what America is all about and everyone wants to come to America still the one destination for the point 
,,dan-burns,"How do you help morale? (e.g., when the crew was supposed to go home but needs to stay active/at sea?)",well this sucks so on I'm sure we'll do it your phone calls so the first is to get the word out get the proper workout because there is going to be room in all all we've been extended another thirty days sixty is Hey did you hear we're going to Australia one big division officers he can do is get the right word out and then people always try to run down rumors as well one thing about that there there will never be a shortage of scrotal and we were there so one way you is by doing is is yeah getting the word out well we're not going to Australia yes we have been extended but we've only been extended by two days and okay that that helps you can get that word out yeah and then you will come though as the person that's got the scoop since got kicked out so it's got the light yeah things open you know sharks you know football games or the group go do something yeah they're all good to go through this is gonna be all things to getting the word out of civil suits for these people before try to plan their lives a little they have there were plenty of laws you can help 
,,dan-burns,Who are the core team members (inner circle) who you relied on as a leader?,on the most as a writer who is my court TV but I will one allied the two the that so far right a captive XO all that we can live all three systems for combat systems also for for the division also level rely on chief petty officer division for being senior at all sure yeah issue the command those are so people either directly or live on but also on so as there is new low for real and certainly the department head reporter James okay yeah that one also I would always be in touch with the fries with the supply officer this is this is also a feature he gets the parts that you need to do your mission that is a cash wrap and answer Castro well the sponsors signing off on that guy's trip as so I always got to know the supply also Michael 
,,dan-burns,"If you have trouble listening well, what strategies can help you listen well?",listening to roles you'd be issued the plan of the day and you'll be recorders and you only have a good day some some way your division will last year and some some way that day hi there your department head XO seals we'll call it as that person so what's going on today and they ask is your team member who has an the day you'd be surprised how often that happens or and eight people will complain I didn't get the word there's always so many ways to get the word out yeah for smartphones for tablets before we had a simple plan would that be right all so what they're doing and what's going on you know it's not a big change even in the smartphone era and as we get this smartphone the ambiance far from so it's still not getting here so what do you do yeah you correctly let's see the part of the day postado okay right behind me yeah one day right there those what's going on but if you haven't as division officer taking time to host the fall flat on the day yeah Paul so you need to make sure that it's available if you could point to a place that interest is in the ships one of the file it is the U. R. L. but if you can't find that your responsibility okay if you got it then they could seriously don't read it right about a talk with the chief petty also watch try to go over the better strategy what's the first thing is make sure you have posted 
,,dan-burns,What makes your leadership style unique?,a smaller version of the it's been a very for each person of course depending on your background how you can qualify you swirls so what a very pragmatic approach they would have me and I'm sure our chief engineer systems yeah so right for me users should call seven one is the ship logs on committing to its mission so that's the kind of things that make up my 
,,dan-burns,What are some of the things you do really well as a leader that someone could imitate?,well as a leader on the so it does actually for five full you live thanks to you for example officers my server was there's two else better officers to help me the division commands which well but I actually do for a little while well I'd be so fit rex writing unit the war is the official maybe language it's having quite the ropes three years yeah and you just can't give if you've got a division of armadillo or fifty personnel you can't just use one fifty doesn't work and people like trust your doctor felt let down by so writing a rap with old is more art than science it is a lot of our right and that's how you right take care right would you the other side to dissipate alright the little rubber 
,,dan-burns,What are the most important decisions that you face daily as a leader in your organization?,most of those board decisions based daily as a leader as a label also number one is knowing the status of my with your plan as a division officers and also as the chief engineer you had the local you responsible our life or you should should close for he's got the power to go for and I was responsible stem to start feels may manifest right we have to have you here so yeah knowing the status of for your appointment because frankly as in a lawsuit as the ship this way you know all the everything is not going to be one hundred percent also on there if you are a new commission check that is gonna be parts that are really broken and how is that going to affect your ability to carry out the ship's mission you have to think about that every day do I have the right technology right on the right he sees the white people carry out the mission sure 
,,dan-burns,How do I take lessons from officer school and apply them in real life?,I wasn't sure examples experience training for those who has why that in the city that every day you're going to be every day is a new day these days the chance to reach back it's zero operate and sees what tools you need to pull out and news because you will be challenged every day so there are gonna be some lessons that you're going to from your tree and they're gonna be so that you will not use that you use perhaps all different ship order through the use of so we put a lot of training and education into CS you might think that it's you know you're and we're gonna use it talking to happen use it at some point so we'll use is more of a lot of your views a little later on at the shore pool at different use of although the use of 
,,dan-burns,What do you need to know about yourself to lead a team?,self in order to be able to do though you can tell the truth take pictures what a lot they used to be or old clothes that lights would swear yeah before they would it was still alive yeah or the first part of a lot of parties for by god that you would look for and try to carry out the mission to the best of your so trades you want to carry out your job every day that's your week though so soaring lights forms of the constitution to support the family constitution that's all for that's your hello to that day wake up and figure out how to do this one of my to make today better than 
,,dan-burns,What do you need to know about your team members?,what do you need to know about your tea yeah one of the the the little one how they sit what is the right fit the best fit for your team they need to do is sit down and review their service Jack you're going to be handed a choose medic document and to watch yeah well we'll watch build the term is yeah all the people all you have to do something to watch bill that's gonna goes off to your reporting training and your son and said they're all for Kerry out there's a lot of our lives all of these it could be a sign that is a good teacher should be from one so find out what they can do by reading this or Jack is talking to the to the chief talking to the vision officers and then watching watching them doing some drums okay people want to qualify people want to be there also watch all right well still watch frozen rolls on find out if they have their origin for that's what you do 
,,dan-burns,What are the most important factors about a situation to consider?,is the answer or for situation all since every situation is going to be different you need to see a isn't life or death what a do I need what is it that okay do I need to make a decision alright let alone that'll or go out five to study it yeah most times when you're lost to the bridge you know that one's fine to make the you know the speed of AS is not good at that so one of these is so much fun though I have the date and you know one thing I would say basic far five far as yeah or what was left in one nine eleven towers all night your you walk into a far you do not belong to a fox you into a fire there's going to be some aspect of the far right there or Wall USS Cole leave your team yeah our and you know all the way at the water yeah all right and yet it will be shipped back in the bottle walking to the car walk yeah 
,,dan-burns,What are some secret-sauce tips for your leadership style?,for me as a service war for all zero we'll be back on thirty years and all of our troops on the old better start all the the one of the things like that there's a lesson out of my orders we should be able the pharmacy with that the analog on the last and here's a and I was with the with the thing about farm pharmacy is your father or are if you will and on a strong shoot from the hip beating it or already shop at the wall slowly of value wave or walk and also the usual you will get over it so all of the farm so chase you walking into situation sass you you guys use your head yeah about sharp force for the for 
,,dan-burns,What leadership strategies are dying out?,sure strategies are yeah first and foremost a little one strategy that is dying out that on arrival is is a they do or you know you you know you should be done with everyone and yeah how you never malls throws everyone always for inspecting expect which means that okay so you know this this yeah the end of all new with it you know I'm just going to use a new at the same time there is always with that before the marines in order yeah a lot of that that's right now on the lot levels or a problem that needed yeah sure that you shop at that's like a flow so so you can do is understand information understand the technology understand your capability to fight the mission that will mean that that we hope you get to the ship on 
